,title,cast,nepos,pct_nepo
372,Grey's Anatomy,Sarah Drew,True,5.555555555555555
373,Grey's Anatomy,Caterina Scorsone,True,5.555555555555555
374,Grey's Anatomy,Kelly McCreary,True,5.555555555555555
375,Grey's Anatomy,Kim Raver,True,5.555555555555555
376,Grey's Anatomy,Jason George,True,5.555555555555555
377,Grey's Anatomy,Eric Dane,True,5.555555555555555
378,The Office,Steve Carell,True,16.666666666666664
379,The Office,Jenna Fischer,True,16.666666666666664
380,The Office,John Krasinski,['https://en.wikipedia.org/wiki/Stanley_Tucci'],16.666666666666664
381,The Office,Rainn Wilson,True,16.666666666666664
382,The Office,Leslie David Baker,True,16.666666666666664
383,The Office,Brian Baumgartner,True,16.666666666666664
384,The Office,Angela Kinsey,True,16.666666666666664
385,The Office,Kate Flannery,True,16.666666666666664
386,The Office,Phyllis Smith,True,16.666666666666664
387,The Office,Creed Bratton,True,16.666666666666664
388,The Office,Oscar Nuñez,True,16.666666666666664
389,The Office,Mindy Kaling,True,16.666666666666664
390,The Office,B.J. Novak,['https://en.wikipedia.org/wiki/William_Novak'],16.666666666666664
391,The Office,Ed Helms,True,16.666666666666664
392,The Office,Paul Lieberstein,True,16.666666666666664
393,The Office,Craig Robinson,True,16.666666666666664
394,The Office,Ellie Kemper,"['https://en.wikipedia.org/wiki/Carrie_Kemper', 'https://en.wikipedia.org/wiki/William_Thornton_Kemper_Sr.']",16.666666666666664
395,The Office,Zach Woods,True,16.666666666666664
396,Dark Winds,Zahn McClarnon,True,
397,Dark Winds,Kiowa Gordon,True,
398,Dark Winds,Jessica Matten,True,
399,Dark Winds,Deanna Allison,True,
400,Dark Winds,Rainn Wilson,True,
401,Dark Winds,Elva Guerra,True,
402,Dark Winds,Eugene Brave Rock,True,
403,Dark Winds,Noah Emmerich,True,
404,Dark Winds,Jeremiah Bitsui,True,
405,Dark Winds,Jonathan Adams,True,
406,Dark Winds,Amelia Rico,True,
407,Dark Winds,Ryan Begay,True,
408,Dark Winds,Rob Tepper,True,
409,Dark Winds,Betty Ann Tsosie,True,
410,Dark Winds,Quenton Yazzie,True,
411,Dark Winds,DezBaa',True,
412,Dark Winds,Ryffin Phoenix,True,
413,Dark Winds,Julian Bonfiglio,True,
414,Supernatural,Jared Padalecki,True,11.11111111111111
415,Supernatural,Jensen Ackles,True,11.11111111111111
416,Supernatural,Jim Beaver,True,11.11111111111111
417,Supernatural,Misha Collins,True,11.11111111111111
418,Supernatural,Mark Sheppard,['https://en.wikipedia.org/wiki/W._Morgan_Sheppard'],11.11111111111111
419,Supernatural,Alexander Calvert,True,11.11111111111111
420,Supernatural,Mark Pellegrino,True,11.11111111111111
421,Supernatural,Samantha Smith,True,11.11111111111111
422,Supernatural,Ruth Connell,True,11.11111111111111
423,Supernatural,Rob Benedict,['https://en.wikipedia.org/wiki/Amy_Benedict'],11.11111111111111
424,Supernatural,Kim Rhodes,True,11.11111111111111
425,Supernatural,Osric Chau,True,11.11111111111111
