,id,rank,title,worldwideLifetimeGross,domesticLifetimeGross,domestic,foreignLifetimeGross,foreign,year,cast,nepos,pct_nepo
112,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Irrfan Khan,False,11.11111111111111
113,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Vincent D'Onofrio,False,11.11111111111111
114,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Nick Robinson,False,11.11111111111111
115,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Jake Johnson,False,11.11111111111111
116,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Omar Sy,False,11.11111111111111
117,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,BD Wong,False,11.11111111111111
118,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Lauren Lapkus,False,11.11111111111111
119,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Brian Tee,False,11.11111111111111
120,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Katie McGrath,False,11.11111111111111
121,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Andy Buckley,False,11.11111111111111
122,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Eric Edelstein,False,11.11111111111111
123,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Courtney James Clark,False,11.11111111111111
124,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Colby Boothman,False,11.11111111111111
125,tt0369610,7,Jurassic World,"$1,671,537,444","$653,406,625",39.1%,"$1,018,130,819",60.9%,2015,Jimmy Fallon,False,11.11111111111111
126,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Donald Glover,['https://en.wikipedia.org/wiki/Stephen_Glover_(screenwriter)'],38.88888888888889
127,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Beyoncé,"['https://en.wikipedia.org/wiki/Mathew_Knowles', 'https://en.wikipedia.org/wiki/Tina_Lawson']",38.88888888888889
128,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Seth Rogen,False,38.88888888888889
129,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Chiwetel Ejiofor,['https://en.wikipedia.org/wiki/Zain_Asher'],38.88888888888889
130,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,John Oliver,False,38.88888888888889
131,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,James Earl Jones,['https://en.wikipedia.org/wiki/Robert_Earl_Jones'],38.88888888888889
132,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,John Kani,False,38.88888888888889
133,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Alfre Woodard,False,38.88888888888889
134,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,JD McCrary,False,38.88888888888889
135,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Shahadi Wright Joseph,False,38.88888888888889
136,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Penny Johnson Jerald,False,38.88888888888889
137,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Keegan-Michael Key,['https://en.wikipedia.org/wiki/Dwayne_McDuffie'],38.88888888888889
138,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Eric André,False,38.88888888888889
139,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Florence Kasumba,False,38.88888888888889
140,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Billy Eichner,False,38.88888888888889
141,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Amy Sedaris,['https://en.wikipedia.org/wiki/David_Sedaris'],38.88888888888889
142,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Chance the Rapper,['https://en.wikipedia.org/wiki/Taylor_Bennett_(rapper)'],38.88888888888889
143,tt6105098,8,The Lion King,"$1,663,250,487","$543,638,043",32.7%,"$1,119,612,444",67.3%,2019,Josh McCrary,False,38.88888888888889
144,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Robert Downey Jr.,['https://en.wikipedia.org/wiki/Robert_Downey_Sr.'],22.22222222222222
145,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Chris Evans,False,22.22222222222222
146,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Scarlett Johansson,False,22.22222222222222
147,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Jeremy Renner,False,22.22222222222222
148,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Mark Ruffalo,False,22.22222222222222
149,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Chris Hemsworth,"['https://en.wikipedia.org/wiki/Luke_Hemsworth', 'https://en.wikipedia.org/wiki/Liam_Hemsworth', 'https://en.wikipedia.org/wiki/Joanne_van_Os']",22.22222222222222
150,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Tom Hiddleston,False,22.22222222222222
151,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Clark Gregg,False,22.22222222222222
152,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Cobie Smulders,False,22.22222222222222
153,tt0848228,9,The Avengers,"$1,518,815,515","$623,357,910",41%,"$895,457,605",59%,2012,Stellan Skarsgård,False,22.22222222222222
